alpha,L1,L2,L3,e1,e2,e3
0.0001,0.968065206148433,1.0324251916896303,-1.0000416666666132,0.00025637284938152805,0.0002346050878316774,5.3459605458849265e-14
0.0002,0.959805512401428,1.040890339256025,-1.0000833333328991,0.00036833056351815547,0.0003288780184538192,4.341812317751845e-13
0.0003,0.9540100578957137,1.0468258214138735,-1.0001249999985327,0.00044647981257242537,0.0003915962611545238,1.4671566352861707e-12
0.0004,0.9493926353733957,1.0515467105074356,-1.0001666666631883,0.0005055135761722868,0.00043689453824680754,3.4777674854752903e-12
0.0005,0.94548937550552,1.055528853880448,-1.0002083333265392,0.0005515623273415052,0.00047060112446128526,6.792673128137e-12
0.0006,0.9420735233359704,1.0590054417472834,-1.0002499999882595,0.0005879351096360097,0.0004958302973020689,1.1737590604330471e-11
0.0007,0.939015244677585,1.0621102699150806,-1.0002916666480177,0.0006166776266892575,0.0005144897998176004,1.8643510201456507e-11
0.0008,0.9362324503822217,1.0649280849560394,-1.0003333333054933,0.0006391675012824488,0.0005278534675456134,2.7830712416590015e-11
0.0009,0.9336695555275537,1.0675163636886522,-1.0003749999603604,0.0006563891176941948,0.0005368242585575942,3.9624751432556553e-11
0.001,0.9312869755018609,1.0699160979882243,-1.0004166666122845,0.0006690772590141744,0.0005420710598254698,5.435956153912673e-11
0.0011,0.9290554072933401,1.0721576735256289,-1.0004583332609478,0.0006777991090320654,0.0005441064370185547,7.235237551729988e-11
0.0012,0.9269524825485086,1.0742643141630983,-1.0004999999060187,0.0006830042890393758,0.0005433338728609756,9.39343551216768e-11
0.0013,0.9249606947984776,1.076254217255825,-1.0005416665471718,0.0006850570231655842,0.0005400780083917607,1.194301712441224e-10
0.0014,0.9230660560099351,1.0781419389429712,-1.0005833331840768,0.0006842577020082264,0.0005346048361537459,1.4916954479911805e-10
0.0015,0.9212571925909534,1.079939327128737,-1.0006249998164094,0.0006808578477409914,0.0005271356603342989,1.8347592809152097e-10
0.0016,0.919524717684357,1.0816561698626217,-1.0006666664438406,0.0006750708056717896,0.0005178570331156961,2.2267760171381228e-10
0.0017,0.9178607834930981,1.0833006581281546,-1.000708333066048,0.0006670795737105824,0.0005069280046624356,2.6709613441924894e-10
0.0018,0.9162587545585581,1.0848797238525696,-1.0007499996826967,0.0006570426593337983,0.0004944855273814288,3.1706546734410514e-10
0.0019,0.9147129644771799,1.0863992917788141,-1.000791666293468,0.0006450985430426864,0.0004806485601187314,3.729035106887601e-10
0.002,0.913218531521413,1.0878644704871179,-1.0008333328980263,0.0006313691357996089,0.0004655212365389746,4.349445398740978e-10
0.0021,0.9117712167003336,1.0892796995467169,-1.0008749994960513,0.000615962496190787,0.00044919534685206454,5.035081320921509e-10
0.0022,0.9103673129555627,1.0906488644632717,-1.0009166660872066,0.0005989749935482307,0.00043175230706545865,5.789293406421219e-10
0.0023,0.9090035575717519,1.0919753876004334,-1.0009583326711713,0.0005804930500676757,0.00041326473989472637,6.615280780245697e-10
0.0024,0.9076770621497742,1.0932623009145286,-1.0009999992476104,0.0005605945586248589,0.00039379775732946757,7.516379568125293e-10
0.0025,0.9063852560429491,1.0945123047400145,-1.0010416658162105,0.0005393500476675452,0.0003734100111452865,8.495712398263074e-10
0.0026,0.9051258402379688,1.0957278157472263,-1.0010833323766286,0.0005168236466288913,0.0003521545608680117,9.556694160692187e-10
0.0027,0.9038967494279962,1.0969110064031216,-1.001124998928543,0.0004930738923901212,0.0003300795966537183,1.0702530691729006e-09
0.0028,0.9026961205759467,1.0980638376969303,-1.001166665471627,0.0004681544078860261,0.0003072290457678021,1.1936471644687066e-09
0.0029,0.9015222666672461,1.099188086477841,-1.0012083320055436,0.00044211447697746796,0.000283643084847249,1.3261872591210002e-09
0.003,0.9003736546475379,1.1002853684455962,-1.0012499985299799,0.0004149995344812998,0.0002593585753115494,1.4681849033432443e-09
0.0031,0.8992488867620058,1.1013571576060113,-1.0012916650445949,0.0003868515862962717,0.0002344094355905116,1.6199793152627314e-09
0.0032,0.898146684679945,1.1024048028306568,-1.0013333315490622,0.00035770957153457314,0.00020882696107506682,1.7818952430820778e-09
0.0033,0.89706587591553,1.1034295420280957,-1.001374998043058,0.0003276096762311753,0.0001826401005075476,1.9542549411680647e-09
0.0034,0.8960053821537,1.1044325143326115,-1.001416664526252,0.00029658560637845253,0.0001558756958826463,2.137386597411714e-09
0.0035,0.8949642091661557,1.1054147706375155,-1.0014583309983125,0.00026466882660712115,0.0001285586915885446,2.331620562949081e-09
