alpha,L1,L2,L3
0.000000,nan,0.000004,-2.000000
0.001000,-0.070911,0.067717,-1.999750
0.002000,-0.089853,0.084790,-1.999500
0.003000,-0.103266,0.096639,-1.999251
0.004000,-0.114020,0.105999,-1.999002
0.005000,-0.123153,0.113854,-1.998753
0.006000,-0.131176,0.120683,-1.998504
0.007000,-0.138382,0.126761,-1.998256
0.008000,-0.144957,0.132262,-1.998008
0.009000,-0.151026,0.137302,-1.997760
0.010000,-0.156680,0.141965,-1.997512
0.011000,-0.161986,0.146313,-1.997265
0.012000,-0.166994,0.150393,-1.997018
0.013000,-0.171745,0.154241,-1.996771
0.014000,-0.176271,0.157887,-1.996524
0.015000,-0.180597,0.161355,-1.996278
0.016000,-0.184745,0.164664,-1.996032
0.017000,-0.188734,0.167831,-1.995786
0.018000,-0.192578,0.170870,-1.995540
0.019000,-0.196291,0.173792,-1.995295
0.020000,-0.199884,0.176609,-1.995050
0.021000,-0.203366,0.179328,-1.994805
0.022000,-0.206747,0.181957,-1.994560
0.023000,-0.210033,0.184503,-1.994316
0.024000,-0.213232,0.186973,-1.994071
0.025000,-0.216350,0.189371,-1.993827
0.026000,-0.219391,0.191703,-1.993584
0.027000,-0.222360,0.193973,-1.993340
0.028000,-0.225263,0.196183,-1.993097
0.029000,-0.228103,0.198339,-1.992854
0.030000,-0.230882,0.200444,-1.992611
0.031000,-0.233606,0.202499,-1.992369
0.032000,-0.236276,0.204508,-1.992127
0.033000,-0.238896,0.206473,-1.991885
0.034000,-0.241468,0.208397,-1.991643
0.035000,-0.243993,0.210281,-1.991401
0.036000,-0.246476,0.212128,-1.991160
0.037000,-0.248916,0.213939,-1.990919
0.038000,-0.251317,0.215716,-1.990678
0.039000,-0.253680,0.217460,-1.990438
0.040000,-0.256006,0.219172,-1.990197
0.041000,-0.258298,0.220855,-1.989957
0.042000,-0.260556,0.222509,-1.989717
0.043000,-0.262782,0.224136,-1.989478
0.044000,-0.264977,0.225736,-1.989238
0.045000,-0.267142,0.227311,-1.988999
0.046000,-0.269278,0.228861,-1.988760
0.047000,-0.271387,0.230388,-1.988522
0.048000,-0.273469,0.231892,-1.988283
0.049000,-0.275525,0.233374,-1.988045
0.050000,-0.277556,0.234835,-1.987807
0.051000,-0.279563,0.236276,-1.987569
0.052000,-0.281547,0.237697,-1.987332
0.053000,-0.283509,0.239098,-1.987095
0.054000,-0.285448,0.240481,-1.986858
0.055000,-0.287367,0.241847,-1.986621
0.056000,-0.289265,0.243195,-1.986385
0.057000,-0.291143,0.244526,-1.986148
0.058000,-0.293001,0.245840,-1.985912
0.059000,-0.294841,0.247139,-1.985676
0.060000,-0.296662,0.248423,-1.985441
0.061000,-0.298466,0.249691,-1.985205
0.062000,-0.300253,0.250946,-1.984970
0.063000,-0.302022,0.252185,-1.984735
0.064000,-0.303776,0.253412,-1.984501
0.065000,-0.305513,0.254624,-1.984266
0.066000,-0.307235,0.255824,-1.984032
0.067000,-0.308942,0.257011,-1.983798
0.068000,-0.310634,0.258186,-1.983565
0.069000,-0.312312,0.259349,-1.983331
0.070000,-0.313975,0.260499,-1.983098
0.071000,-0.315625,0.261639,-1.982865
0.072000,-0.317262,0.262767,-1.982632
0.073000,-0.318885,0.263884,-1.982400
0.074000,-0.320496,0.264991,-1.982167
0.075000,-0.322094,0.266087,-1.981935
0.076000,-0.323680,0.267173,-1.981703
0.077000,-0.325254,0.268249,-1.981472
0.078000,-0.326816,0.269316,-1.981240
0.079000,-0.328367,0.270373,-1.981009
0.080000,-0.329907,0.271420,-1.980778
0.081000,-0.331436,0.272458,-1.980548
0.082000,-0.332954,0.273488,-1.980317
0.083000,-0.334461,0.274509,-1.980087
0.084000,-0.335959,0.275521,-1.979857
0.085000,-0.337446,0.276525,-1.979627
0.086000,-0.338923,0.277520,-1.979397
0.087000,-0.340391,0.278508,-1.979168
0.088000,-0.341849,0.279487,-1.978939
0.089000,-0.343298,0.280459,-1.978710
0.090000,-0.344738,0.281424,-1.978482
0.091000,-0.346169,0.282381,-1.978253
0.092000,-0.347591,0.283330,-1.978025
0.093000,-0.349004,0.284273,-1.977797
0.094000,-0.350409,0.285208,-1.977569
0.095000,-0.351805,0.286137,-1.977342
0.096000,-0.353194,0.287059,-1.977114
0.097000,-0.354574,0.287974,-1.976887
0.098000,-0.355946,0.288882,-1.976661
0.099000,-0.357311,0.289784,-1.976434
0.100000,-0.358668,0.290680,-1.976208
0.101000,-0.360018,0.291570,-1.975981
0.102000,-0.361360,0.292454,-1.975755
0.103000,-0.362695,0.293331,-1.975530
0.104000,-0.364022,0.294203,-1.975304
0.105000,-0.365343,0.295069,-1.975079
0.106000,-0.366657,0.295929,-1.974854
0.107000,-0.367964,0.296784,-1.974629
0.108000,-0.369265,0.297633,-1.974405
0.109000,-0.370559,0.298476,-1.974180
0.110000,-0.371846,0.299315,-1.973956
0.111000,-0.373127,0.300148,-1.973732
0.112000,-0.374402,0.300976,-1.973508
0.113000,-0.375670,0.301799,-1.973285
0.114000,-0.376933,0.302617,-1.973062
0.115000,-0.378189,0.303430,-1.972839
0.116000,-0.379440,0.304238,-1.972616
0.117000,-0.380685,0.305041,-1.972393
0.118000,-0.381924,0.305839,-1.972171
0.119000,-0.383157,0.306633,-1.971949
0.120000,-0.384385,0.307423,-1.971727
0.121000,-0.385608,0.308207,-1.971505
0.122000,-0.386825,0.308988,-1.971284
0.123000,-0.388036,0.309764,-1.971062
0.124000,-0.389243,0.310535,-1.970841
0.125000,-0.390444,0.311303,-1.970621
0.126000,-0.391640,0.312066,-1.970400
0.127000,-0.392831,0.312825,-1.970180
0.128000,-0.394018,0.313580,-1.969959
0.129000,-0.395199,0.314331,-1.969739
0.130000,-0.396375,0.315078,-1.969520
0.131000,-0.397547,0.315821,-1.969300
0.132000,-0.398714,0.316560,-1.969081
0.133000,-0.399876,0.317295,-1.968862
0.134000,-0.401034,0.318027,-1.968643
0.135000,-0.402187,0.318754,-1.968424
0.136000,-0.403335,0.319479,-1.968206
0.137000,-0.404480,0.320199,-1.967988
0.138000,-0.405620,0.320916,-1.967770
0.139000,-0.406755,0.321629,-1.967552
0.140000,-0.407887,0.322339,-1.967334
0.141000,-0.409014,0.323046,-1.967117
0.142000,-0.410137,0.323749,-1.966900
0.143000,-0.411256,0.324448,-1.966683
0.144000,-0.412371,0.325145,-1.966466
0.145000,-0.413482,0.325838,-1.966250
0.146000,-0.414589,0.326528,-1.966033
0.147000,-0.415692,0.327214,-1.965817
0.148000,-0.416791,0.327898,-1.965601
0.149000,-0.417886,0.328578,-1.965386
0.150000,-0.418978,0.329255,-1.965170
0.151000,-0.420066,0.329929,-1.964955
0.152000,-0.421150,0.330601,-1.964740
0.153000,-0.422231,0.331269,-1.964525
0.154000,-0.423308,0.331934,-1.964311
0.155000,-0.424382,0.332596,-1.964096
0.156000,-0.425452,0.333256,-1.963882
0.157000,-0.426518,0.333912,-1.963668
0.158000,-0.427581,0.334566,-1.963455
0.159000,-0.428641,0.335217,-1.963241
0.160000,-0.429698,0.335865,-1.963028
0.161000,-0.430751,0.336510,-1.962815
0.162000,-0.431800,0.337153,-1.962602
0.163000,-0.432847,0.337793,-1.962389
0.164000,-0.433890,0.338431,-1.962177
0.165000,-0.434931,0.339066,-1.961964
0.166000,-0.435968,0.339698,-1.961752
0.167000,-0.437002,0.340328,-1.961540
0.168000,-0.438032,0.340955,-1.961329
0.169000,-0.439060,0.341579,-1.961117
0.170000,-0.440085,0.342202,-1.960906
0.171000,-0.441107,0.342821,-1.960695
0.172000,-0.442126,0.343439,-1.960484
0.173000,-0.443142,0.344053,-1.960274
0.174000,-0.444155,0.344666,-1.960063
0.175000,-0.445165,0.345276,-1.959853
0.176000,-0.446173,0.345884,-1.959643
0.177000,-0.447177,0.346490,-1.959433
0.178000,-0.448179,0.347093,-1.959224
0.179000,-0.449178,0.347694,-1.959015
0.180000,-0.450175,0.348293,-1.958805
0.181000,-0.451168,0.348889,-1.958596
0.182000,-0.452160,0.349483,-1.958388
0.183000,-0.453148,0.350076,-1.958179
0.184000,-0.454134,0.350666,-1.957971
0.185000,-0.455117,0.351253,-1.957763
0.186000,-0.456098,0.351839,-1.957555
0.187000,-0.457076,0.352423,-1.957347
0.188000,-0.458052,0.353004,-1.957140
0.189000,-0.459025,0.353584,-1.956932
0.190000,-0.459996,0.354161,-1.956725
0.191000,-0.460964,0.354737,-1.956518
0.192000,-0.461930,0.355310,-1.956312
0.193000,-0.462894,0.355882,-1.956105
0.194000,-0.463855,0.356452,-1.955899
0.195000,-0.464813,0.357019,-1.955693
0.196000,-0.465770,0.357585,-1.955487
0.197000,-0.466724,0.358149,-1.955281
0.198000,-0.467676,0.358711,-1.955076
0.199000,-0.468626,0.359271,-1.954871
0.200000,-0.469573,0.359829,-1.954665
0.201000,-0.470518,0.360385,-1.954461
0.202000,-0.471461,0.360940,-1.954256
0.203000,-0.472402,0.361492,-1.954052
0.204000,-0.473341,0.362043,-1.953847
0.205000,-0.474278,0.362592,-1.953643
0.206000,-0.475212,0.363140,-1.953439
0.207000,-0.476144,0.363685,-1.953236
0.208000,-0.477075,0.364229,-1.953032
0.209000,-0.478003,0.364771,-1.952829
0.210000,-0.478929,0.365312,-1.952626
0.211000,-0.479853,0.365851,-1.952423
0.212000,-0.480775,0.366388,-1.952220
0.213000,-0.481695,0.366923,-1.952018
0.214000,-0.482614,0.367457,-1.951816
0.215000,-0.483530,0.367989,-1.951614
0.216000,-0.484444,0.368520,-1.951412
0.217000,-0.485356,0.369049,-1.951210
0.218000,-0.486267,0.369576,-1.951009
0.219000,-0.487175,0.370102,-1.950807
0.220000,-0.488082,0.370626,-1.950606
0.221000,-0.488987,0.371149,-1.950405
0.222000,-0.489890,0.371670,-1.950205
0.223000,-0.490791,0.372190,-1.950004
0.224000,-0.491690,0.372708,-1.949804
0.225000,-0.492588,0.373225,-1.949604
0.226000,-0.493484,0.373740,-1.949404
0.227000,-0.494378,0.374253,-1.949204
0.228000,-0.495270,0.374765,-1.949005
0.229000,-0.496161,0.375276,-1.948805
0.230000,-0.497050,0.375785,-1.948606
0.231000,-0.497937,0.376293,-1.948407
0.232000,-0.498822,0.376800,-1.948209
0.233000,-0.499706,0.377305,-1.948010
0.234000,-0.500588,0.377808,-1.947812
0.235000,-0.501468,0.378310,-1.947613
0.236000,-0.502347,0.378811,-1.947416
0.237000,-0.503224,0.379311,-1.947218
0.238000,-0.504100,0.379809,-1.947020
0.239000,-0.504974,0.380306,-1.946823
0.240000,-0.505846,0.380801,-1.946626
0.241000,-0.506717,0.381295,-1.946429
0.242000,-0.507586,0.381788,-1.946232
0.243000,-0.508454,0.382279,-1.946035
0.244000,-0.509320,0.382770,-1.945839
0.245000,-0.510185,0.383258,-1.945643
0.246000,-0.511048,0.383746,-1.945447
0.247000,-0.511909,0.384232,-1.945251
0.248000,-0.512769,0.384717,-1.945055
0.249000,-0.513628,0.385201,-1.944860
0.250000,-0.514485,0.385684,-1.944664
0.251000,-0.515341,0.386165,-1.944469
0.252000,-0.516195,0.386645,-1.944274
0.253000,-0.517048,0.387124,-1.944080
0.254000,-0.517899,0.387602,-1.943885
0.255000,-0.518749,0.388078,-1.943691
0.256000,-0.519598,0.388554,-1.943497
0.257000,-0.520445,0.389028,-1.943303
0.258000,-0.521291,0.389501,-1.943109
0.259000,-0.522135,0.389973,-1.942916
0.260000,-0.522979,0.390443,-1.942722
0.261000,-0.523820,0.390913,-1.942529
0.262000,-0.524661,0.391381,-1.942336
0.263000,-0.525500,0.391848,-1.942143
0.264000,-0.526338,0.392314,-1.941951
0.265000,-0.527174,0.392779,-1.941758
0.266000,-0.528009,0.393243,-1.941566
0.267000,-0.528843,0.393706,-1.941374
0.268000,-0.529676,0.394168,-1.941182
0.269000,-0.530507,0.394628,-1.940990
0.270000,-0.531337,0.395088,-1.940799
0.271000,-0.532166,0.395546,-1.940607
0.272000,-0.532993,0.396003,-1.940416
0.273000,-0.533820,0.396460,-1.940225
0.274000,-0.534645,0.396915,-1.940035
0.275000,-0.535469,0.397369,-1.939844
0.276000,-0.536291,0.397822,-1.939654
0.277000,-0.537113,0.398274,-1.939463
0.278000,-0.537933,0.398726,-1.939273
0.279000,-0.538752,0.399176,-1.939084
0.280000,-0.539570,0.399625,-1.938894
0.281000,-0.540387,0.400073,-1.938705
0.282000,-0.541203,0.400520,-1.938515
0.283000,-0.542017,0.400966,-1.938326
